epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,19240.8,0.48134,0.45235,0.00896,0.95227,0.8903,0.94376,0.83739,0.51451,0.56576,0.01224,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,19436.1,0.47133,0.44914,0.00875,0.95049,0.88488,0.94368,0.83721,0.51401,0.56366,0.01223,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,19633.7,0.47058,0.43737,0.00874,0.95305,0.88949,0.94446,0.83897,0.51313,0.5598,0.0122,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,19831.4,0.46169,0.438,0.00858,0.95729,0.88756,0.94457,0.83958,0.51157,0.56065,0.01216,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,20027.8,0.46033,0.42641,0.00859,0.9578,0.8851,0.94471,0.83971,0.50872,0.56422,0.01208,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,20224.4,0.45661,0.42788,0.00844,0.95174,0.88972,0.94467,0.83938,0.51143,0.56025,0.01223,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,20445.6,0.46701,0.37198,0.01083,0.95438,0.88952,0.94494,0.84016,0.511,0.55724,0.01223,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,20638.1,0.44657,0.33937,0.01047,0.95323,0.89304,0.94562,0.841,0.51131,0.55401,0.01227,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,20830.8,0.43384,0.33191,0.00995,0.94184,0.90101,0.94557,0.8411,0.512,0.54916,0.0123,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,21022.8,0.42886,0.32098,0.00979,0.94516,0.9007,0.94586,0.84187,0.50971,0.5457,0.01226,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,21214.7,0.42396,0.31862,0.0096,0.95913,0.89257,0.94596,0.8427,0.50868,0.54169,0.01222,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,21407,0.42259,0.31589,0.00956,0.95538,0.89451,0.94611,0.84343,0.50678,0.54014,0.01218,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,21598.6,0.40802,0.30604,0.00907,0.95325,0.89343,0.94643,0.84391,0.50524,0.53797,0.01214,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,21790.3,0.40179,0.30583,0.00908,0.95571,0.89484,0.94681,0.84476,0.50459,0.53351,0.01212,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,21982.4,0.39735,0.30906,0.00876,0.96058,0.8937,0.94724,0.84532,0.50272,0.52896,0.012,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,22174.9,0.39144,0.28573,0.00875,0.9385,0.91129,0.94739,0.84598,0.50053,0.52528,0.01195,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
